ambito,region,provincia,distrito,numero_local,nombre_local,estado_mesa_pdf,numero_mesa,presidencial_estado_acta,presidencial_electores_habiles,presidencial_votos_emitidos,presidencial_votos_validos,presidencial_participacion_pct,presidencial_centro_poblado,presidencial_local_web,presidencial_alianza_electoral_venceremos,presidencial_partido_patriotico_del_peru,presidencial_partido_civico_obras,presidencial_frente_popular_agricola_fia_del_peru,presidencial_partido_democrata_verde,presidencial_partido_del_buen_gobierno,presidencial_partido_politico_peru_accion,presidencial_partido_politico_prin,presidencial_progresemos,presidencial_partido_sicreo,presidencial_partido_pais_para_todos,presidencial_partido_frente_de_la_esperanza_2021,presidencial_partido_politico_nacional_peru_libre,presidencial_partido_ciudadanos_por_el_peru,presidencial_primero_la_gente_comunidad_ecologia_libertad_y_progreso,presidencial_juntos_por_el_peru,presidencial_podemos_peru,presidencial_partido_democratico_federal,presidencial_fe_en_el_peru,presidencial_partido_politico_integridad_democratica,presidencial_fuerza_popular,presidencial_alianza_para_el_progreso,presidencial_partido_politico_cooperacion_popular,presidencial_ahora_nacion_an,presidencial_libertad_popular,presidencial_un_camino_diferente,presidencial_avanza_pais_partido_de_integracion_social,presidencial_peru_moderno,presidencial_partido_politico_peru_primero,presidencial_salvemos_al_peru,presidencial_partido_democratico_somos_peru,presidencial_partido_aprista_peruano,presidencial_renovacion_popular,presidencial_partido_democrata_unido_peru,presidencial_fuerza_y_libertad,presidencial_partido_de_los_trabajadores_y_emprendedores_pte_peru,presidencial_unidad_nacional,presidencial_partido_morado,presidencial_votos_blanco,presidencial_votos_nulos,presidencial_votos_impugnados
PERÚ,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,1325,IE ABEL CALDERON CARRERA,Instalada,901297,Para envío al JEE,254,,,0.0,MALAT,IE ABEL CALDERON CARRERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,CHOTA,TACABAMBA,1188,IE 10460,Instalada,901357,Para envío al JEE,277,,,0.0,PUCARA,IE 10460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,7267,IE 10609,Instalada,901361,Para envío al JEE,162,,,0.0,LAS PAMPAS,IE 10609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,CHOTA,CHALAMARCA,50075,IE 10526 EL VERDE,Instalada,901363,Para envío al JEE,247,,,0.0,EL VERDE,IE 10526 EL VERDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,HUALGAYOC,BAMBAMARCA,52256,IE 82671 EL TAMBO,Instalada,901376,Para envío al JEE,288,,,0.0,EL TAMBO,IE 82671 EL TAMBO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,HUALGAYOC,BAMBAMARCA,52256,IE 82671 EL TAMBO,Instalada,901380,Para envío al JEE,288,,,0.0,EL TAMBO,IE 82671 EL TAMBO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,HUALGAYOC,BAMBAMARCA,54017,IE SAN FRANCISCO DE ASIS,Instalada,901394,Para envío al JEE,238,,,0.0,LLAUCAN,IE SAN FRANCISCO DE ASIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,HUALGAYOC,BAMBAMARCA,54697,IE DANIEL ALCIDES CARRION,Instalada,901411,Para envío al JEE,245,,,0.0,EL AUQUE,IE DANIEL ALCIDES CARRION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,CUTERVO,CUTERVO,54134,IE CARLOS MATTA RIVERA,Instalada,901439,Para envío al JEE,281,,,0.0,MAMABAMBA,IE CARLOS MATTA RIVERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,CUTERVO,CUTERVO,54134,IE CARLOS MATTA RIVERA,Instalada,901441,Para envío al JEE,299,,,0.0,MAMABAMBA,IE CARLOS MATTA RIVERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
